Company Name,Ticker,ROA (5 Yr Avg),Annual Sales,Net Income ,Pretax Income ,Cash Flow ,Dividend ,Current Assets ,Current Liabilities ,Long Term Debt ,Book Value,Debt/Total Capital,Debt/Equity Ratio,Cash Ratio,Last Qtr EPS,Exchange,Current ROA (TTM),ROI (5 Yr Avg),Sector,Industry,Shares Outstanding ,Market Cap ,Last Close,52 Week High,52 Week Low,12 Mo Trailing EPS,5 Yr. Hist. EPS Growth,5 Yr Historical Sales Growth,P/E (Trailing 12 Months),Current ROE (TTM),Current ROI (TTM),5 Yr Hist. Div. Growth %,S&P 500 - ETF
"Agilent Technologies, Inc.","A","9.0788","4472","684","803","980",".52799","4169","1263","1801","14.02","28.454",".4","2.27236",".66","NYSE","9.72","12.093","Computer and Technology","Electronics - Testing Equipment","322.72","21799.55","67.55","74.82","51.21","2.5","-8.21","-12.35","27.02","17.7","12.71","1.56159","YES"
"American Airlines Group, Inc.","AAL","6.8625","42207","1919","3084","4302",".4","9146","14964","22511","8.2","85.15","5.73",".4033",".95","NSDQ","4.57","6.3245","Transportation","Transportation - Airline","473.14","25166.25","53.19","58.47","40.35","4.9","-6.65","11.1","10.85","63.78","9.13","0","YES"
"Advance Auto Parts, Inc.","AAP","6.98839","9373.78","475.5","520.25","647.492",".23999","5426.89013","3480.09008","1044.31994","46.22","23.41799",".31",".18736",".77","NYSE","4.71","15.65699","Retail-Wholesale","Automotive - Retail and Wholesale - Parts","73.98","8608.09","116.36","155.35","79.38","5.38","2.05","9.27","21.63","12.45","9.37","0","YES"
"Apple Inc.","AAPL","17.388","229234","48351","64089","58508","2.4","128645","100814","97207","27.56","42.56999",".74",".87405","3.89","NSDQ","13.82","26.968","Computer and Technology","Computer - Mini computers","5074.01","897187.06","176.82","179.26","138.68","9.73","12.39","7.88","18.17","37.37","22.06","10.043","YES"
"AbbVie Inc.","ABBV","16.39399","28216","5309","7727","10512","2.55999","21223","16641","30953","3.19","85.861","6.07",".87314","1.48","NYSE","13.24","26.27799","Medical","Large Cap Pharmaceuticals","1587.97","183664.97","115.66","123.21","63.34","5.59","13.31","10.27","20.69","158.15","22.8","12.956","YES"
"AmerisourceBergen Corporation (Holding Co)","ABC","4.1991","153143.8","364.48001","917.88","1736.08703","1.46","24303.30078","26818.16015","3781.56005","13.16","61.63","1.61",".09465","1.55","NYSE","3.82","21.919","Medical","Medical - Dental Supplies","219.67","20846.59","94.9","105.48","73.23","6.08","18.4","14.54","15.61","53.65","20.65","15.08199","YES"
"Abbott Laboratories","ABT","8.02239","27390","477","2231","8333","1.05999","20147","8912","27210","17.87","46.666",".87","1.26761",".74","NYSE","6.05","12.142","Medical","Medical - Products","1746.33","105426.18","60.37","63.42","42.67","2.5","-5.73","-3.6","24.15","13.88","7.82","14.901","YES"
"Accenture PLC","ACN","17.73699","36765.48","3445.13989","4616.02978","4558.50292","2.42","12097.29003","9824.26953","22.15999","15.57",".22408","",".53052","1.79","NYSE","17.84","47.888","Business Services","Consulting Services","635.28","100913.91","158.85","164.74","114.86","6.12","9.01","4.8","25.96","41.79","41.69","10.06","YES"
"Adobe Systems Incorporated","ADBE","7.1661","7301.5","1693.94995","2137.63989","2125.79296","0","7247.81005","3527.44995","1881.42004","17.16","18.193","","1.7094","1.26","NSDQ","12.93","9.53489","Computer and Technology","Computer - Software","493.33","104172.3","211.16","212.15","119.6","4.32","32.55","12.82","48.88","22.15","17.92","","YES"
"Analog Devices, Inc.","ADI","11.333","5107.5","727.25","828.47998","2240.09204","1.76999","2351.33007","1596.32995","7551.08007","27.98","41.64599",".71",".69632","1.42","NSDQ","8.46","13.635","Computer and Technology","Semiconductor - Analog and Mixed","369.8","33703.9","91.14","97.24","75.51","5.16","19.4","15.06","17.66","18.78","10.52","7.6132","YES"
"Archer Daniels Midland Company","ADM","3.8087","60828","1595","1609","2313.08007","1.27999","19925","12570","6623","32.76","26.70599",".36",".70047",".82","NYSE","3.56","6.39429","Consumer Staples","Agriculture - Operations","558.84","23873.62","42.72","46.24","38.96","2.44",".25","-10.06","17.51","7.91","5.81","12.95499","YES"
"Automatic Data Processing, Inc.","ADP","4.057","12379.8","1733.40002","2531.10009","2067.86596","2.24","32658.69921","29815.90039","2002.40002","8.86","33.747",".51","1.0382",".99","NSDQ","4.29","24.67","Business Services","Outsourcing","443.27","51268.57","115.66","123.63","96.46","3.86","5.97","1.69","29.96","43.28","28.82","6.8481","YES"
