Company Name,Ticker,P/E (Trailing 12 Months),Price/Book,Last Close,Shares Outstanding ,Market Cap ,Sector,Industry,Exchange,Last Qtr EPS,Annual Sales,Net Income ,Cash Ratio,Book Value,Long Term Debt ,Current Liabilities ,Current Assets ,Dividend ,5 Yr Hist. Div. Growth %,12 Mo Trailing EPS,S&P 500 - ETF
"Agilent Technologies, Inc.","A","28.28","5.04","70.7","322.72","22816.09","Computer and Technology","Electronics - Testing Equipment","NYSE",".66","4472","684","2.27236","14.02","1801","1263","4169",".52799","1.56159","2.5","YES"
"American Airlines Group, Inc.","AAL","10.9","6.43","53.39","473.14","25260.89","Transportation","Transportation - Airline","NSDQ",".95","42207","1919",".4033","8.3","22511","14964","9146",".4","0","4.9","YES"
"Advance Auto Parts, Inc.","AAP","21.62","2.52","116.32","73.98","8605.12","Retail-Wholesale","Automotive - Retail and Wholesale - Parts","NYSE",".77","9373.78","459.61999","","46.17","1042.93994","3676.04003","5172.75976",".23999","0","5.38","YES"
"Apple Inc.","AAPL","18.04","6.35","175.5","5074.01","890489.31","Computer and Technology","Computer - Mini computers","NSDQ","3.89","229234","48351",".87405","27.63","97207","100814","128645","2.4","10.043","9.73","YES"
"AbbVie Inc.","ABBV","21.24","37","118.75","1587.97","188571.8","Medical","Large Cap Pharmaceuticals","NYSE","1.48","28216","5309","","3.21","36440","9781","16187","2.55999","12.956","5.59","YES"
"AmerisourceBergen Corporation (Holding Co)","ABC","16.19","7.52","98.42","219.67","21619.82","Medical","Medical - Dental Supplies","NYSE","1.55","153143.8","364.48001",".09465","13.09","3781.56005","26818.16015","24303.30078","1.46","15.08199","6.08","YES"
"Abbott Laboratories","ABT","23.88","3.35","59.71","1746.33","104273.6","Medical","Medical - Products","NYSE",".74","27390","477","","17.81","20681","6660","26776","1.05999","14.901","2.5","YES"
"Accenture PLC","ACN","26.63","10.46","162.95","635.28","103518.55","Business Services","Consulting Services","NYSE","1.79","36765.48","3445.13989",".53052","15.57","22.15999","9824.26953","12097.29003","2.42","10.06","6.12","YES"
"Adobe Systems Incorporated","ADBE","59.25","12.22","209.74","491.58","103103.57","Computer and Technology","Computer - Software","NSDQ","1.26","7301.5","1693.94995","1.7094","17.16","1881.42004","3527.44995","7247.81005","0","","4.32","YES"
"Analog Devices, Inc.","ADI","19.31","3.28","90.37","372.67","33678.55","Computer and Technology","Semiconductor - Analog and Mixed","NSDQ","1.45","5107.5","727.25",".69632","27.57","7551.08007","1596.32995","2351.33007","1.76999","7.6132","4.68","YES"
"Archer Daniels Midland Company","ADM","17.45","1.3","42.57","558.84","23789.78","Consumer Staples","Agriculture - Operations","NYSE",".82","60828","1595","","32.79","6636","857","8225","1.27999","12.95499","2.44","YES"
"Automatic Data Processing, Inc.","ADP","30.48","13.27","117.65","443.27","52150.71","Business Services","Outsourcing","NSDQ",".99","12379.8","1733.40002","1.0382","8.87","2002.40002","29815.90039","32658.69921","2.24","6.8481","3.86","YES"
"Alliance Data Systems Corporation","ADS","13.1","7.21","242.09","55.25","13375.23","Business Services","Financial Transaction Services","NYSE","6.26","7719.4","788.70001","","33.58","14886.90039","11897.7998","22710.80078","2.07999","","19.36","YES"
"Autodesk, Inc.","ADSK","","234.99","115.03","220.27","25337.31","Computer and Technology","Computer - Software","NSDQ","-.12","2031","-582.09998","",".49","1092","2185.3999","2460.60009","0","","-.67","YES"
"Ameren Corporation","AEE","19.84","1.87","56.35","242.6","13670.51","Utilities","Utility - Electric Power","NYSE",".39","6177","523",".19557","30.2","7094","2940","1612","1.7775","2.78909","2.84","YES"
"American Electric Power Company, Inc.","AEP","18.41","1.81","67.37","491.89","33138.29","Utilities","Utility - Electric Power","NYSE",".85","15400","1912.59997","","37.18","19037.90039","8653","4253.10009","2.39","5.3825","3.66","YES"
"The AES Corporation","AES","10.39","1.12","10.49","660.39","6927.46","Utilities","Utility - Electric Power","NYSE",".24","13586","-1130","","9.36","19160","5272","6411",".47999","33.28799","1.01","YES"
"Aetna Inc.","AET","17.86","3.62","175.55","326.94","57394.84","Medical","Medical - HMOs","NYSE","1.25","60535","1904","","48.44","8160","6814","11427","1.75","17.28199","9.83","YES"
"Aflac Incorporated","AFL","13.17","1.44","89.57","390.45","34973.05","Finance","Insurance - Accident and Health","NYSE","1.6","21667","3665","","62.4","5289","99147","6282","1.74","5.2494","6.8","YES"
"Allergan plc","AGN","9.9",".78","162.09","330.32","53541.57","Medical","Medical - Generic Drugs","NYSE","4.86","15940.7","-4125.5","1.36296","208.61","30075.30078","5616.2998","11458.2998","2.79999","","16.38","YES"
"American International Group, Inc.","AIG","26.82",".83","60.07","902.47","54211.31","Finance","Insurance - Multi line","NYSE",".57","49520","-6084","","72.81","30912","275120","63029","1.27999","40.48099","2.24","YES"
"Apartment Investment and Management Company","AIV","15.87","3.97","38.88","156.48","6083.83","Finance","REIT and Equity Trust - Residential","NYSE","1.67","1005.44","315.76998","","9.78","4088.90991","220.35","142.53999","1.44","10.47399","2.45","YES"
"Assurant, Inc.","AIZ","22.48","1.09","88.56","52.47","4647.19","Finance","Insurance - Multi line","NYSE","1.84","6415","519.59997",".05387","81.59","1068.19995","23774.90039","13160.2998","2.15","25.493","3.94","YES"
"Arthur J. Gallagher & Co.","AJG","22.55","3.01","68.99","181.43","12516.58","Finance","Insurance - Brokerage","NYSE",".82","6159.6","463.1",".61343","22.96","2691.8999","4912.2998","5170.60009","1.55999","2.63739","3.06","YES"
"Akamai Technologies, Inc.","AKAM","36.02","3.44","67.36","169.15","11394.08","Computer and Technology","Internet - Services","NSDQ",".69","2503","218.32","","19.57","662.90997","463.89999","1308.86999","0","","2.62","YES"
"Albemarle Corporation","ALB","29.39","3.25","118.75","110.5","13121.4","Basic Materials","Chemical - Diversified ","NYSE","1.08","2677.2","643.66998","","36.57","2121.70996","1140.09997","3306.6101","1.27999","6.75199","4.04","YES"
"Align Technology, Inc.","ALGN","67.97","18.47","265.07","80.18","21252.78","Medical","Medical - Dental Supplies","NSDQ","1.19","1473.41","231.41","1.61206","14.35","0","497.80999","1157","0","","3.9","YES"
"Alaska Air Group, Inc.","ALK","9.8","2.15","64.98","123","7992.35","Transportation","Transportation - Airline","NYSE",".83","7933","1034",".6474","30.25","2262","2700","2146","1.2","34.23799","6.63","YES"
"Allstate Corporation (The)","ALL","14.06","1.61","94.37","355","33501.35","Finance","Insurance - Property and Casualty","NYSE","2.09","38524","3189","","58.61","6350","71781","17837","1.48","9.5569","6.71","YES"
"Allegion PLC","ALLE","21.71","20.23","86.17","95.18","8202.09","Industrial Products","Security and Safety Services","NYSE","1.11","2408.2","229.1","","4.26","1415.59997","429.6","829.29998",".63999","23.72299","3.97","YES"
"Alexion Pharmaceuticals, Inc.","ALXN","23.46","2.96","118.93","221.68","26364.52","Medical","Medical - Biomedical and Genetics","NSDQ","1.48","3551.1","443.29998","1.85511","40.12","3063.60009","952.5","2953.8999","0","","5.86","YES"
"Applied Materials, Inc.","AMAT","15.66","7.04","57.01","1050.69","59899.66","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","NSDQ","1.06","14537","3434","1.85905","8.1","5304","4115","12918",".4","1.14719","3.64","YES"
"Advanced Micro Devices, Inc.","AMD","201.17","19.06","12.07","964.8","11645.12","Computer and Technology","Electronics - Semiconductors","NSDQ",".08","5329","43",".99798",".63","1325","1486","2622","0","",".16","YES"
"AMETEK, Inc.","AME","29.41","4.41","76.76","231.34","17757.28","Computer and Technology","Electronics - Testing Equipment","NYSE",".7","4300.17","681.46997",".63757","17.41","1866.16003","1138.66003","1934.65002",".36","9.57709","2.61","YES"
