Company Name,Ticker,Cash Ratio,Net Margin,Dividend ,5 Yr Hist. Div. Growth %,5 Yr Div. Yield %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,Pretax Income ,EBIT ,EBITDA ,Annual Sales,ROA (5 Yr Avg),Operating Margin 12 Mo,Inventory Turnover,Asset Utilization,Current Ratio,Debt/Equity Ratio,Debt/Total Capital,Book Value,Common Equity,Preferred Equity,Long Term Debt ,Current Liabilities ,Current Assets ,Intangibles,Inventory ,Receivables ,Current ROA (TTM),ROI (5 Yr Avg),Price as a % of 52 Wk H-L Range,52 Week Low,Last Close,Shares Outstanding ,Industry,Sector,Exchange,Div. Yield %,P/E (F1),Market Cap ,52 Week High,Beta,Last Qtr EPS,Last Reported Qtr ,Current ROI (TTM),Current ROE (TTM),Price/Book,PEG Ratio,P/E (Trailing 12 Months),5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),This Yr`s Est.d Growth (F(1)/F(0)),5 Yr. Hist. EPS Growth,12 Mo Trailing EPS,Last Reported Fiscal Yr ,S&P 500 - ETF
"Agilent Technologies, Inc.","A","2.27236",".15",".52799","1.84379",".99","48.05194","980","684","803","882","1094","4472","9.0136","17.73","3.68759",".55255","3.32",".39","28.04999","14.32","4835","0","1801","1263","4169","2968","575","724","9.8","11.94499","41.05","55.77","63.59","322.48","Electronics - Testing Equipment","Computer and Technology","NYSE",".94","23.75","20506.25","74.82","1.32",".65","20180401","12.98","18.01","4.44","2.21","24.74","-12.35","6.43","13.47","-8.21","2.57","20171031","YES"
"American Airlines Group Inc.","AAL",".4033",".05",".4","0",".81","-28.2885","4302","1919","3084","4137","6040","42207","7.2112","5.7","22.57099",".81713",".57","-21.56","85.15","-2.17","3926","0","22511","14964","9146","6294","1359","1752","4.65","6.5082","12.55","41.5","43.63","468.15","Transportation - Airline","Transportation","NSDQ",".92","8.08","20425.5","58.47",".98",".75","20180301","9.81","92.63","",".69","8.66","9.46","5.04","10.61","-8.2","5.04","20171231","YES"
"Advance Auto Parts, Inc.","AAP",".18736",".05",".23999","0",".19","3.45502","647.492","475.5","520.25","579.04998","828.30999","9373.78","6.91379","4.25","1.23749","1.1088","1.56","","23.41799","46.22","3415.18994","0","1044.31994","3480.09008","5426.89013","1591.95996","4168.49023","606.34997","4.71","15.366","56.06","79.38","119.79","73.98","Automotive - Retail and Wholesale - Parts","Retail-Wholesale","NYSE",".2","17.87","8861.84","151.47","1.05",".77","20171201","9.37","12.45","2.59","1.32","22.27","9.27","-2.03","24.81","2.05","5.38","20171231","YES"
"Apple Inc.","AAPL",".87405",".21","2.4","9.36699","1.94","5.83098","58508","48351","64089","64089","74246","229234","17.01399","21.55","30.405",".66207","1.46",".8","44.40999","25","134047","0","97207","100814","128645","8015","4855","35673","14.27","26.51","93.61","142.27","186.99","5074.01","Computer - Mini computers","Computer and Technology","NSDQ","1.56","16.36","948789.75","190.04","1.26","2.73","20180301","23.03","39.97","7.48","1.39","18.05","7.76","6.3","24.12","12.65","10.36","20170930","YES"
"AbbVie Inc.","ABBV",".87314",".19","2.55999","13.68999","3.36","-10.81808","10512","5309","7727","8731","10232","28216","15.95499","33.6","4.3821",".42921","1.2","8.7","89.689","2.24","5097","0","30953","16641","21223","43344","1605","5088","14.42","25.847","69.07","65.37","105.32","1586.88","Large Cap Pharmaceuticals","Medical","NYSE","3.65","13.55","167130.16","123.21","1.59","1.87","20180301","26.36","186.47","47.04","1","17.04","10.88","10.06","38.85","15.09","6.18","20171231","YES"
"AmerisourceBergen Corporation","ABC",".09465","0","1.46","14.503","1.46","-74.47477","1736.08703","364.48001","917.88","1063.06005","1495.39001","153143.8","4.16349",".87","12.887","4.4035",".94","1.38","57.97399","15.3","2064.45996","0","3781.56005","26818.16015","24303.30078","8877.55957","11461.42968","10303.32031","3.83","22.01499","42.92","73.23","87.07","219.8","Medical - Dental Supplies","Medical","NYSE","1.75","13.41","19138.33","105.48","1.04","1.94","20180301","20.02","51.04","5.69","1.32","13.93","13.1","4.29","10.41","17.45","6.25","20170930","YES"
"Abbott Laboratories","ABT","1.26761",".02","1.05999","13.24899","2.13","-65.92858","8333","477","2231","3135","7068","27390","7.7315","16.2","3.40159",".39158","1.66",".67","40.09899","18.02","31098","0","27210","8912","20147","45493","3601","5249","6.34","11.583","87.6","42.98","61.06","1753.19","Medical - Products","Medical","NYSE","1.83","21.33","107049.65","63.62","1.5",".59","20180301","8.29","14.54","3.39","1.75","23.4",".35","31.35","14.49","-1.41","2.61","20171231","YES"
"Accenture PLC","ACN",".53052",".09","2.42","10.001","2.09","-16.21518","4558.50292","3445.13989","4616.02978","4631.56982","5433.35009","36765.48","17.749","10.32","","1.74","1.31","0",".2477","16.43","9710.20019","0","22.15999","9824.26953","12097.29003","5002.35009","0","6885.25","17.96","47.56399","77.88","120.4","154.93","635.28","Consulting Services","Business Services","NYSE","1.72","23.21","98423.62","164.74","1.03","1.58","20180201","41.4","41.5","9.43","2.32","24.32","5.18","5.66","12.97","9.27","6.37","20170831","YES"
"Adobe Systems Incorporated","ADBE","1.7094",".23","0","","0","44.93317","2125.79296","1693.94995","2137.63989","2212.04003","2538.03002","7301.5","7.51889","26.22","",".54234","2.12",".22","17.84","17.53","8459.86035","0","1881.42004","3527.44995","7247.81005","6207.20996","0","1217.95996","14.22","10.053","95.32","134.33","236.85","492.47","Computer - Software","Computer and Technology","NSDQ","0","37.07","116641.59","241.88","1.04","1.55","20180201","19.89","24.42","13.51","2.29","48.04","14.93","24.72","48.23","41.53","4.93","20171130","YES"
"Analog Devices, Inc.","ADI",".69632",".14","1.76999","6.8389","2.62","-15.59896","2240.09204","727.25","828.47998","1079.31994","1663.36999","5107.5","11.32999","33.63","3.8513",".25148","1.76","","41.64599","27.77","10161.54003","0","7551.08007","1596.32995","2351.33007","17536.88085","550.80999","688.95001","8.46","13.67899","89.59","76.11","95.04","369.8","Semiconductor - Analog and Mixed","Computer and Technology","NSDQ","2.02","16.88","35146.13","97.24","1.24","1.42","20180101","10.52","18.78","3.42","1.41","18.42","15.06","49.28","19.28","19.4","5.16","20171031","YES"
"Archer Daniels Midland Company","ADM",".70047",".03","1.27999","12.27","2.55","24.7068","2313.08007","1595","1609","1939","2863","60828","3.84249","2.34","6.57959","1.55509","1.57",".36","26.38599","33.51","18322","0","6623","12570","19925","3918","9173","1947","3.63","6.427","83.92","38.96","44.91","559.18","Agriculture - Operations","Consumer Staples","NYSE","2.98","14.96","25112.96","46.05","1.01",".68","20180301","5.84","7.96","1.34","","17.82","-9.82","-2.43","23.56","-1.05","2.52","20171231","YES"
"Automatic Data Processing, Inc.","ADP","1.0382",".14","2.24","7.10989","2.32","16.0777","2067.86596","1733.40002","2531.10009","2611.10009","3013.10009","12379.8","4.07429","13.89","",".32385","1.05",".5","33.198","9.15","3977","0","2002.40002","29815.90039","32658.69921","2361.19995","0","1703.59997","4.5","25.09099","99.9","97.3","127.99","440.52","Outsourcing","Business Services","NSDQ","1.97","29.75","56382.45","128.02",".87","1.52","20180301","30.38","45.69","14.08","2.7","31.45","1.97","6.1","16.28","6.67","4.07","20170630","YES"
"Alliance Data Systems Corporation","ADS",".60657",".1","2.07999","",".25","82.44275","1564.17102","788.70001","1081.09997","1645.5","2187.10009","7719.4","4.34999","13.64","17.069",".27175","2.14","7.86","88.708","36.13","1855.30004","0","17980.40039","10146.70019","24705.5996","4680.70019","234.1","18316.80078","3.71","7.50169","19.49","194.64","210.57","55.4","Financial Transaction Services","Business Services","NYSE","1.08","9.34","11665.53","276.37","1.76","4.44","20180301","5.97","61.3","5.83",".54","10.59","15.95","8.14","16.52","17.74","19.89","20171231","YES"
