WMT, Stable dividend payer and recession resistant
SIG, Cheap and stable
TWTR, Cheap
HAS, recession resistant
DIS, recession resistant industry
HRL, recession resistant industry
CHD, generic
EL, generic
BF.B, generic
BRK.B, Warren Buffet
PFE, generic
AMGN, good in last recession
GIS, generic
CHD, recession resistant industryx
ROST, stable and recession resistant
CLX, generic
KO, proven company
AXP, generic
MA, strong finance and recession resistant
DLTR, good in crisis but no dividend
VZ, Good yield
IVZ, Good yield
CVS, Good yield
GRMN, Good yield
TJX, nice
WBA, Good yield
WFC, Good yield
CAH, Good yield
AFL, nice
FL, nice
